,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
416,0.0,Tue Mar 27 01:02:07 +0000 2018,1.0,0.0,0.0,17,@nytimes
417,-0.2023,Tue Mar 27 00:47:04 +0000 2018,0.766,0.131,0.102,18,@nytimes
418,0.0,Tue Mar 27 00:32:03 +0000 2018,1.0,0.0,0.0,19,@nytimes
419,0.5267,Tue Mar 27 00:17:05 +0000 2018,0.812,0.0,0.188,20,@nytimes
420,-0.5574,Tue Mar 27 00:02:02 +0000 2018,0.735,0.265,0.0,21,@nytimes
421,0.5106,Mon Mar 26 23:47:06 +0000 2018,0.645,0.0,0.355,22,@nytimes
422,-0.8957,Mon Mar 26 23:32:04 +0000 2018,0.565,0.435,0.0,23,@nytimes
423,-0.5574,Mon Mar 26 23:17:04 +0000 2018,0.833,0.167,0.0,24,@nytimes
424,0.0,Mon Mar 26 23:02:04 +0000 2018,1.0,0.0,0.0,25,@nytimes
425,0.0,Mon Mar 26 22:45:06 +0000 2018,1.0,0.0,0.0,26,@nytimes
426,-0.1531,Mon Mar 26 22:32:03 +0000 2018,0.708,0.179,0.113,27,@nytimes
427,0.4939,Mon Mar 26 22:17:03 +0000 2018,0.814,0.0,0.186,28,@nytimes
428,0.6124,Mon Mar 26 21:47:02 +0000 2018,0.639,0.086,0.274,29,@nytimes
429,0.5859,Mon Mar 26 21:32:07 +0000 2018,0.789,0.0,0.211,30,@nytimes
430,-0.3818,Mon Mar 26 21:17:06 +0000 2018,0.874,0.126,0.0,31,@nytimes
431,0.0,Mon Mar 26 21:00:13 +0000 2018,1.0,0.0,0.0,32,@nytimes
432,-0.34,Mon Mar 26 20:50:05 +0000 2018,0.902,0.098,0.0,33,@nytimes
433,-0.8225,Mon Mar 26 20:41:03 +0000 2018,0.636,0.364,0.0,34,@nytimes
434,0.0,Mon Mar 26 20:30:05 +0000 2018,1.0,0.0,0.0,35,@nytimes
435,0.0,Mon Mar 26 20:20:05 +0000 2018,1.0,0.0,0.0,36,@nytimes
436,0.5267,Mon Mar 26 20:10:03 +0000 2018,0.793,0.0,0.207,37,@nytimes
437,0.0,Mon Mar 26 19:50:01 +0000 2018,1.0,0.0,0.0,38,@nytimes
